NodeID	MNI_x	MNI_y	MNI_z	Desikan-Killiany_aparc_label	Chan_system_type	Power_system_label	Power_label	Power_red	Power_green	Power_blue	Vertex	Hemisphere	Chan_JON2017
1	-18.574	-40.975	69.174	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	1	L	1
2	-52.399	-6.5663	46.494	Precentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	2	L	1
3	-7.3559	25.899	60.908	Superior_frontal_gyrus	Association	Default	3	1	0	0	3	L	1
4	-18.238	-91.289	20.893	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	4	L	1
5	-48.41	-52.84	49.052	Supramarginal_gyrus	N/A	Unknown_similar_to_Nelson_2010	26	1	0.706	0.353	5	L	1
6	-39.294	50.042	5.8951	Rostral_middle_frontal_gyrus	N/A	Unknown_similar_to_Nelson_2010	26	1	0.706	0.353	6	L	1
7	-23.78	-55.211	-4.729	Lingual_gyrus	Sensory-motor	Visual	5	0	0	1	8	L	1
8	-59.279	-46.513	-6.365	Middle_temporal_gyrus	Association	Default	3	1	0	0	9	L	0
9	-33.212	-25.226	18.552	Postcentral_gyrus	Sensory-motor	Auditory	24	1	0	1	10	L	1
10	-33.818	6.7374	-25.981	Medial_wall	N/A	Lateral_temporal_pole	17	0.863	0.863	0.863	11	L	0
11	-10.874	-52.876	5.8957	Precuneus	N/A	Unknown_medial_temporal_parietal	21	1	0.973	0.706	1161	L	1
12	-16.235	-49.335	-3.1524	Lingual_gyrus	Sensory-motor	Visual	5	0	0	1	1604	L	1
13	-10.097	-17.953	38.503	Posterior_cingulate_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	1741	L	1
14	-2.6594	-30.03	37.816	Posterior_cingulate_gyrus	Association	Default	3	1	0	0	1841	L	1
15	-7.8767	2.7147	46.284	Superior_frontal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	1923	L	1
16	-1.6159	-17.817	36.85	Posterior_cingulate_gyrus	Association	Default	3	1	0	0	2160	L	1
17	-5.5991	23.251	47.802	Superior_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	2192	L	1
18	-9.0244	10.564	36.73	Caudal_anterior_cingulate_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	2454	L	1
19	-4.3641	-3.9356	30.566	Posterior_cingulate_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	2644	L	1
20	-10.554	23.855	30.595	Caudal_anterior_cingulate_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	2735	L	1
21	-10.743	35.252	22.203	Superior_frontal_gyrus	Association	Default	3	1	0	0	2993	L	1
22	-2.9623	30.353	11.473	Medial_wall	Association	Default	3	1	0	0	3265	L	1
23	-10.52	-4.5042	67.752	Superior_frontal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	3467	L	1
24	-11.934	-37.556	76.954	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	3797	L	1
25	-8.6221	-41.393	61.462	Paracentral_lobule	Sensory-motor	Hand_somatomotor	4	0	1	1	3975	L	1
26	-15.842	-36.434	45.153	Precuneus	Association	Cingulo-opercular_control	14	0.502	0	0.502	4050	L	1
27	-13.272	-32.263	38.3	Posterior_cingulate_gyrus	N/A	Unknown_with_memory_retrieval_activity	22	0	0.424	1	4085	L	1
28	-2.2487	-34.173	68.442	Paracentral_lobule	Sensory-motor	Hand_somatomotor	4	0	1	1	4279	L	1
29	-4.9883	-28.159	60.411	Paracentral_lobule	Sensory-motor	Hand_somatomotor	4	0	1	1	4419	L	1
30	-6.97	-12.199	48.768	Paracentral_lobule	Sensory-motor	Hand_somatomotor	4	0	1	1	4679	L	1
31	-6.3257	1.732	56.263	Superior_frontal_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	4892	L	1
32	-7.5361	17.22	64.88	Superior_frontal_gyrus	Association	Ventral_attention	7	0	0.502	0.502	5013	L	1
33	-40.719	-13.538	46.835	Precentral_gyrus	Sensory-motor	Mouth_somatomotor	16	1	0.502	0	5071	L	1
34	-21.48	-31.21	65.834	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5149	L	1
35	-18.703	-29.308	56.662	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5366	L	1
36	-32.141	-24.276	64.931	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5477	L	1
37	-31.965	-18.633	70.067	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5665	L	1
38	-19.215	-24.672	66.92	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5700	L	1
39	-34.248	-5.0039	45.493	Precentral_gyrus	Association	Cingulo-opercular_control	14	0.502	0	0.502	5853	L	1
40	-10.922	-29.291	69.513	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	5861	L	1
41	-16.71	-17.47	71.131	Precentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	6091	L	1
42	-25.334	-6.1494	46.738	Precentral_gyrus	Association	Dorsal_attention	15	0	0.863	0	6111	L	1
43	-17.66	-10.54	64.473	Superior_frontal_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	6282	L	1
44	-20.452	-0.83312	59.292	Superior_frontal_gyrus	Association	Dorsal_attention	15	0	0.863	0	6392	L	1
45	-26.903	-37.955	57.29	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7064	L	1
46	-33.623	-37.624	42.606	Superior_parietal_cortex	Association	Dorsal_attention	15	0	0.863	0	7132	L	1
47	-45.941	-40.689	45.323	Supramarginal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	7196	L	1
48	-34.747	-37.954	61.241	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7306	L	1
49	-40.137	-32.72	38.234	Postcentral_gyrus	Association	Dorsal_attention	15	0	0.863	0	7372	L	1
50	-40.668	-35.182	50.679	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7404	L	1
51	-31.916	-31.624	60.59	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7702	L	1
52	-49.303	-27.358	52.513	Postcentral_gyrus	Sensory-motor	Hand_somatomotor	4	0	1	1	7755	L	1
